Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step
114,9,1,0,0.7910526315789473,0.40136202659684167,0.6591487034445175,0.0,0.0,63
115,9,1,0,0.7923913043478261,0.37378154384983336,0.6626042443676587,0.0,0.0,64
117,9,1,0,0.7926923076923077,0.3438796346874633,0.6640373527123692,0.0,0.0,65
121,9,1,0,0.7977272727272726,0.31219426708461284,0.6677707420067871,0.0,0.0,66
122,9,0,0,0.7989344262295082,0.2770297280013647,0.6694556561689226,0.0,0.0,67
125,9,0,0,0.79596,0.24062279723637725,0.6728847770194396,0.0,0.0,68
127,9,0,0,0.7961811023622046,0.20120524696898417,0.6748343123084494,0.0,0.0,69
128,9,0,0,0.7952343749999999,0.15953031768282816,0.67828589675032,0.0,0.0,70
135,9,0,0,0.801,0.115827911936785,0.681809701094469,0.0,0.0,71
137,9,0,0,0.8031021897810219,0.1,0.6839172792307883,0.0,0.0,72
