Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Overall Survival,Progression-Free Survival,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Time Step
35,0,56,-15,1,0,0.5228571428571429,0.9899999999999999,0.0031166654827408827,22
35,0,56,-15,1,0,0.5228571428571429,0.9925,0.0026446445279371127,23
35,0,56,-15,1,0,0.5228571428571429,0.9916666666666667,0.0031094090631396906,24
36,0,56,-16,1,0,0.5277777777777778,0.9908333333333333,0.0026582737518424317,25
36,0,56,-16,1,0,0.5277777777777778,0.9908333333333333,0.0022167503161117184,26
36,0,56,-16,1,0,0.5277777777777778,0.9908333333333333,0.0028226032995155143,27
35,0,56,-15,1,0,0.5228571428571429,0.9908333333333333,0.0030156049698001623,28
39,0,56,-19,1,0,0.5307692307692308,0.9908333333333333,0.003148555542120742,29
39,0,56,-19,1,0,0.5307692307692308,0.9899999999999999,0.0030357710939261217,30
39,0,56,-19,1,0,0.541025641025641,0.9933333333333333,0.003383383167425333,31
40,0,56,-20,1,0,0.545,0.9908333333333333,0.0027502824691912585,32
40,0,56,-20,1,0,0.545,0.9899999999999999,0.002914054728463828,33
41,0,56,-21,1,0,0.5487804878048781,0.9925,0.0027351279643252134,34
40,0,56,-20,1,0,0.55,0.9899999999999999,0.002850608949130506,35
40,0,56,-20,1,0,0.55,0.9908333333333333,0.0028633119896839918,36
40,0,56,-20,1,0,0.55,0.9908333333333333,0.0034830110239850256,37
39,0,56,-19,1,0,0.5461538461538462,0.9908333333333333,0.0028296544107352423,38
40,0,56,-20,1,0,0.545,0.9916666666666667,0.00317118459126991,39
41,0,56,-21,1,0,0.5439024390243903,0.9908333333333333,0.002898816308486037,40
45,0,56,-25,1,0,0.5488888888888889,0.9908333333333333,0.0023786722816122804,41
45,0,56,-25,1,0,0.5488888888888889,0.9899999999999999,0.0035682270423509996,42
47,0,56,-27,1,0,0.5425531914893617,0.9908333333333333,0.004158809615514795,43
48,0,56,-28,1,0,0.5458333333333333,0.9908333333333333,0.003031092665586979,44
49,0,56,-29,1,0,0.5489795918367346,0.9908333333333333,0.003159037430799177,45
49,0,56,-29,1,0,0.5489795918367346,0.9908333333333333,0.0026098409538470937,46
50,0,56,-30,1,0,0.5519999999999999,0.9908333333333333,0.0029952697356368315,47
53,0,56,-33,1,0,0.5566037735849056,0.9925,0.003012254855106899,48
56,0,56,-36,1,0,0.5571428571428572,0.9908333333333333,0.003046723791231161,49
56,0,56,-36,1,0,0.5571428571428572,0.9899999999999999,0.002869595083679293,50
58,0,56,-38,1,0,0.5551724137931033,0.9899999999999999,0.002808166012302876,51
59,0,56,-39,1,0,0.5576271186440678,0.9908333333333333,0.003069936848601944,52
60,0,56,-40,1,0,0.56,0.9908333333333333,0.0023863056977215156,53
64,0,56,-44,1,0,0.553125,0.9908333333333333,0.0029879925579575192,54
67,0,56,-47,1,0,0.5597014925373134,0.9899999999999999,0.0033977897915120447,55
66,0,56,-46,1,0,0.5575757575757575,0.9908333333333333,0.00232437788587183,56
69,0,56,-49,1,0,0.5637681159420289,0.9908333333333333,0.0029748618920143488,57
72,0,56,-52,1,0,0.5694444444444444,0.9899999999999999,0.0035673415883216916,58
77,0,56,-57,1,0,0.5727272727272726,0.9916666666666667,0.003239819107687794,59
75,0,56,-55,1,0,0.5693333333333332,0.9899999999999999,0.0026464835942593373,60
75,0,56,-55,1,0,0.5666666666666667,0.9908333333333333,0.0027134566576924265,61
79,0,56,-59,1,0,0.5734177215189873,0.9899999999999999,0.0028970604673091275,62
80,0,56,-60,1,0,0.58,0.9899999999999999,0.002774491120798732,63
84,0,56,-64,1,0,0.5857142857142856,0.9916666666666667,0.0030128428277052745,64
87,0,56,-67,1,0,0.5919540229885057,0.995,0.0029831222182186133,65
91,0,56,-71,1,0,0.59010989010989,0.9908333333333333,0.0024497319635085383,66
92,0,56,-72,1,0,0.591304347826087,0.9908333333333333,0.0031771033757223995,67
91,0,56,-71,1,0,0.5923076923076923,0.9899999999999999,0.00298197015680813,68
93,0,56,-73,1,0,0.5946236559139785,0.9933333333333333,0.002988515879680857,69
96,0,56,-76,1,0,0.6,0.9899999999999999,0.0032874313396979576,70
99,0,56,-79,1,0,0.601010101010101,0.9899999999999999,0.0027915904775011554,71
104,0,56,-84,1,0,0.6,0.9908333333333333,0.003222003645083268,72
109,0,56,-89,1,0,0.6027522935779817,0.9899999999999999,0.003076720971937997,73
114,0,56,-94,1,0,0.6070175438596491,0.9899999999999999,0.0031340995225699526,74
