Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Overall Survival,Progression-Free Survival,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Time Step
126,0,30,-76,1,0,0.5047619047619047,0.9899999999999999,0.0026734264586841003,41
129,0,30,-79,1,0,0.5062015503875968,0.9899999999999999,0.002406594751494456,42
135,0,30,-85,1,0,0.5059259259259259,0.9933333333333333,0.004140967322343298,43
137,0,30,-87,1,0,0.5072992700729927,0.9933333333333333,0.0019401327740156075,44
142,0,30,-92,1,0,0.5098591549295775,0.9899999999999999,0.002122845707975455,45
145,0,30,-95,1,0,0.5110344827586206,0.9899999999999999,0.0033335162785388113,46
151,0,30,-101,1,0,0.5158940397350993,0.9933333333333333,0.001848549314247998,47
156,0,30,-106,1,0,0.5166666666666666,0.9899999999999999,0.0026109198267805305,48
161,0,30,-111,1,0,0.5198757763975156,0.9899999999999999,0.0033719350172023766,49
162,0,30,-112,1,0,0.5197530864197532,0.9899999999999999,0.003598269057419156,50
166,0,30,-116,1,0,0.5240963855421686,0.9966666666666667,0.0026352139705804758,51
169,0,30,-119,1,0,0.5272189349112426,0.9899999999999999,0.003962022623732061,52
175,0,30,-125,1,0,0.5285714285714286,0.9899999999999999,0.002552985474972304,53
178,0,30,-128,1,0,0.5303370786516853,0.9899999999999999,0.004092269237160682,54
182,0,30,-132,1,0,0.5307692307692308,0.9899999999999999,0.002560481242099649,55
187,0,30,-137,1,0,0.5342245989304812,0.9899999999999999,0.00430334521205884,56
199,0,30,-149,1,0,0.535175879396985,0.9899999999999999,0.002274542051068397,57
205,0,30,-155,1,0,0.5380487804878049,0.9899999999999999,0.003445406587162518,58
211,0,30,-161,1,0,0.5388625592417062,0.9966666666666667,0.0018101246876752412,59
219,0,30,-169,1,0,0.5401826484018265,0.9899999999999999,0.0037691397535581516,60
228,0,30,-178,1,0,0.5456140350877192,0.9899999999999999,0.0030166785847036107,61
237,0,30,-187,1,0,0.5464135021097046,0.9899999999999999,0.002015254615624311,62
249,0,30,-199,1,0,0.5457831325301205,0.9899999999999999,0.002982584116482958,63
256,0,30,-206,1,0,0.54765625,0.9899999999999999,0.0019351297737238255,64
260,0,30,-210,1,0,0.5476923076923077,0.9899999999999999,0.003189713517840023,65
268,0,30,-218,1,0,0.5492537313432836,0.9966666666666667,0.003480881484258923,66
283,0,30,-233,1,0,0.5522968197879858,0.9899999999999999,0.0037018110163160784,67
291,0,30,-241,1,0,0.554295532646048,0.9933333333333333,0.0031810025869081202,68
301,0,30,-251,1,0,0.5538205980066445,0.9899999999999999,0.0036873270334772724,69
314,0,30,-264,1,0,0.5528662420382165,0.9899999999999999,0.002971301548902341,70
324,0,30,-274,1,0,0.5530864197530864,0.9899999999999999,0.002323314413692977,71
335,0,30,-285,1,0,0.5531343283582089,0.9933333333333333,0.003907204591039249,72
351,0,30,-301,1,0,0.5541310541310541,0.9899999999999999,0.003930961906711594,73
361,0,30,-311,1,0,0.5559556786703601,0.9899999999999999,0.0035627180107727745,74
369,0,30,-319,1,0,0.5574525745257453,0.9899999999999999,0.0021189349106313497,75
